uid,block,style,policy,cuts,hz
ex01_default_00264,ex01::FOR THE FRESH FACE CONTEST,default,asr_3408,20,7.625099285146942
ex01_default_00264,ex01::FOR THE FRESH FACE CONTEST,default,emotion_3408,13,5.083399523431295
ex01_default_00264,ex01::FOR THE FRESH FACE CONTEST,default,intent_3408_last,15,5.809599455350051
ex01_default_00264,ex01::FOR THE FRESH FACE CONTEST,default,speaker_count_3408_last,6,2.5416997617156474
ex01_default_00264,ex01::FOR THE FRESH FACE CONTEST,default,emotion_3407,12,4.720299557471916
ex01_default_00264,ex01::FOR THE FRESH FACE CONTEST,default,emotion_3409,11,4.357199591512538
ex01_default_00264,ex01::FOR THE FRESH FACE CONTEST,default,intent_3408,20,7.625099285146942
ex01_default_00264,ex01::FOR THE FRESH FACE CONTEST,default,speaker_count_3408,20,7.625099285146942
ex01_default_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,default,asr_3408,45,11.49461190067156
ex01_default_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,default,emotion_3408,23,5.997188817741684
ex01_default_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,default,intent_3408_last,29,7.496486022177105
ex01_default_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,default,speaker_count_3408_last,9,2.498828674059035
ex01_default_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,default,emotion_3407,21,5.497423082929877
ex01_default_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,default,emotion_3409,22,5.74730595033578
ex01_default_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,default,intent_3408,45,11.49461190067156
ex01_default_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,default,speaker_count_3408,44,11.244729033265656
ex01_default_00284,ex01::WHERE'D MY POPS GO,default,asr_3408,14,9.370607527721381
ex01_default_00284,ex01::WHERE'D MY POPS GO,default,emotion_3408,6,4.372950179603311
ex01_default_00284,ex01::WHERE'D MY POPS GO,default,intent_3408_last,10,6.871778853662346
ex01_default_00284,ex01::WHERE'D MY POPS GO,default,speaker_count_3408_last,4,3.123535842573794
ex01_default_00284,ex01::WHERE'D MY POPS GO,default,emotion_3407,7,4.99765734811807
ex01_default_00284,ex01::WHERE'D MY POPS GO,default,emotion_3409,6,4.372950179603311
ex01_default_00284,ex01::WHERE'D MY POPS GO,default,intent_3408,14,9.370607527721381
ex01_default_00284,ex01::WHERE'D MY POPS GO,default,speaker_count_3408,13,8.745900359206622
ex01_default_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,default,asr_3408,33,12.692191036140082
ex01_default_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,default,emotion_3408,15,5.972795781712979
ex01_default_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,default,intent_3408_last,21,8.212594199855348
ex01_default_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,default,speaker_count_3408_last,10,4.106297099927674
ex01_default_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,default,emotion_3407,17,6.719395254427102
ex01_default_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,default,emotion_3409,13,5.2261963089988575
ex01_default_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,default,intent_3408,33,12.692191036140082
ex01_default_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,default,speaker_count_3408,31,11.945591563425959
ex01_default_00301,ex01::OKAY IS THAT IS THAT GLOVER,default,asr_3408,23,8.345648961140572
ex01_default_00301,ex01::OKAY IS THAT IS THAT GLOVER,default,emotion_3408,9,3.4773537338085716
ex01_default_00301,ex01::OKAY IS THAT IS THAT GLOVER,default,intent_3408_last,15,5.563765974093714
ex01_default_00301,ex01::OKAY IS THAT IS THAT GLOVER,default,speaker_count_3408_last,8,3.1296183604277146
ex01_default_00301,ex01::OKAY IS THAT IS THAT GLOVER,default,emotion_3407,10,3.8250891071894286
ex01_default_00301,ex01::OKAY IS THAT IS THAT GLOVER,default,emotion_3409,9,3.4773537338085716
ex01_default_00301,ex01::OKAY IS THAT IS THAT GLOVER,default,intent_3408,23,8.345648961140572
ex01_default_00301,ex01::OKAY IS THAT IS THAT GLOVER,default,speaker_count_3408,22,7.997913587759715
ex01_default_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,default,asr_3408,57,10.621373224525302
ex01_default_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,default,emotion_3408,27,5.12755948770187
ex01_default_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,default,intent_3408_last,38,7.141957857870461
ex01_default_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,default,speaker_count_3408_last,16,3.1131611175332776
ex01_default_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,default,emotion_3407,34,6.409449359627336
ex01_default_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,default,emotion_3409,30,5.676940861384212
ex01_default_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,default,intent_3408,57,10.621373224525302
ex01_default_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,default,speaker_count_3408,53,9.888864726282177
ex01_default_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,default,asr_3408,33,8.901980036000655
ex01_default_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,default,emotion_3408,18,4.974635902470954
ex01_default_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,default,intent_3408_last,27,7.331042382588774
ex01_default_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,default,speaker_count_3408_last,11,3.1418753068237604
ex01_default_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,default,emotion_3407,19,5.236458844706267
ex01_default_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,default,emotion_3409,17,4.712812960235641
ex01_default_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,default,intent_3408,33,8.901980036000655
ex01_default_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,default,speaker_count_3408,32,8.64015709376534
ex01_default_00333,ex01::WHAT ARE YOU NO GOOD AT,default,asr_3408,16,10.097260375677482
ex01_default_00333,ex01::WHAT ARE YOU NO GOOD AT,default,emotion_3408,6,4.157695448808375
ex01_default_00333,ex01::WHAT ARE YOU NO GOOD AT,default,intent_3408_last,11,7.127477912242928
ex01_default_00333,ex01::WHAT ARE YOU NO GOOD AT,default,speaker_count_3408_last,4,2.9697824634345538
ex01_default_00333,ex01::WHAT ARE YOU NO GOOD AT,default,emotion_3407,7,4.751651941495286
ex01_default_00333,ex01::WHAT ARE YOU NO GOOD AT,default,emotion_3409,5,3.563738956121464
ex01_default_00333,ex01::WHAT ARE YOU NO GOOD AT,default,intent_3408,16,10.097260375677482
ex01_default_00333,ex01::WHAT ARE YOU NO GOOD AT,default,speaker_count_3408,15,9.503303882990572
ex01_default_00370,ex01::AT LEAST I DO,default,asr_3408,12,7.217961619877156
ex01_default_00370,ex01::AT LEAST I DO,default,emotion_3408,7,4.441822535309019
ex01_default_00370,ex01::AT LEAST I DO,default,intent_3408_last,9,5.552278169136273
ex01_default_00370,ex01::AT LEAST I DO,default,speaker_count_3408_last,4,2.7761390845681366
ex01_default_00370,ex01::AT LEAST I DO,default,emotion_3407,7,4.441822535309019
ex01_default_00370,ex01::AT LEAST I DO,default,emotion_3409,5,3.3313669014817644
ex01_default_00370,ex01::AT LEAST I DO,default,intent_3408,12,7.217961619877156
ex01_default_00370,ex01::AT LEAST I DO,default,speaker_count_3408,12,7.217961619877156
ex01_enunciated_00028,ex01::HE WROTE GULLIVER'S TRAVEL,enunciated,asr_3408,28,8.430385726484856
ex01_enunciated_00028,ex01::HE WROTE GULLIVER'S TRAVEL,enunciated,emotion_3408,17,5.232653209542325
