uid,block,policy,retained,lag_ms,envelope_sum,n
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,1,-100,11.879394671912198,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,1,-80,11.796245451420809,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,1,-60,11.440947223748102,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,1,-40,10.90448587768164,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,1,-20,10.583281201099474,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,1,0,10.78567469584431,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,1,20,11.12788253524187,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,1,40,10.993897254809054,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,1,60,10.424163209059426,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,1,80,9.825137052819356,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,1,100,9.461528138002741,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,0,-100,11.74856698616463,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,0,-80,12.34934452029953,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,0,-60,12.496742849955695,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,0,-40,12.231301548880092,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,0,-20,11.884712864824674,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,0,0,11.64432936744667,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,0,20,11.261509193882924,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,0,40,10.496010302386054,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,0,60,9.537867447928488,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,0,80,8.660189836815185,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,0,100,8.056714083582504,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,1,-100,8.614553741512351,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,1,-80,8.456790370631214,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,1,-60,8.006663734845667,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,1,-40,7.536525392000247,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,1,-20,7.3181331097787945,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,1,0,7.513260138845032,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,1,20,7.851047456707357,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,1,40,7.893811877328104,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,1,60,7.671503653349619,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,1,80,7.445209236522973,14
